"metric","matchahead","pimentel","speedup","grade","subject"
"total_seconds",111.260855436325,1499.31072044373,13.475635384646,"3","glmath"
"mean_per_pair",0.00123623172707028,0.0166590080049303,13.475635384646,"3","glmath"
"median_per_pair",0.0010068416595459,0.020795464515686,NA,"3","glmath"
"iqr_lower",0.000804901123046875,0.00109195709228516,NA,"3","glmath"
"iqr_upper",0.00138092041015625,0.030925989151001,NA,"3","glmath"
"n_pairs",90000,90000,NA,"3","glmath"
"total_seconds",123.043841362,1709.96078586578,13.8971667898031,"3","readng"
"mean_per_pair",0.00136715379291112,0.0189995642873972,13.8971667898028,"3","readng"
"median_per_pair",0.00116395950317383,0.0260123014450073,NA,"3","readng"
"iqr_lower",0.000909805297851562,0.00136995315551758,NA,"3","readng"
"iqr_upper",0.00151896476745605,0.0353100299835205,NA,"3","readng"
"n_pairs",90000,90000,NA,"3","readng"
"total_seconds",107.503925800323,1892.40077447891,17.6030852863349,"4","glmath"
"mean_per_pair",0.00119448806444803,0.021026675271988,17.603085286335,"4","glmath"
"median_per_pair",0.0010378360748291,0.0292094945907593,NA,"4","glmath"
"iqr_lower",0.000861883163452148,0.00155210494995117,NA,"4","glmath"
"iqr_upper",0.00121903419494629,0.0386843085289001,NA,"4","glmath"
"n_pairs",90000,90000,NA,"4","glmath"
"total_seconds",102.972856760025,2161.61648178101,20.9920997609941,"4","readng"
"mean_per_pair",0.00114414285288917,0.0240179609086771,20.9920997609935,"4","readng"
"median_per_pair",0.00101017951965332,0.0253289937973022,NA,"4","readng"
"iqr_lower",0.000854015350341797,0.0018610954284668,NA,"4","readng"
"iqr_upper",0.00119900703430176,0.0465695858001709,NA,"4","readng"
"n_pairs",90000,90000,NA,"4","readng"
"total_seconds",109.211255311966,2179.68461608887,19.9584247050592,"5","glmath"
"mean_per_pair",0.00121345839235517,0.0242187179565427,19.9584247050591,"5","glmath"
"median_per_pair",0.00108599662780762,0.0331089496612549,NA,"5","glmath"
"iqr_lower",0.00096893310546875,0.00175595283508301,NA,"5","glmath"
"iqr_upper",0.00123691558837891,0.0443558692932129,NA,"5","glmath"
"n_pairs",90000,90000,NA,"5","glmath"
"total_seconds",105.531604766846,2046.63608837128,19.3935844422434,"5","readng"
"mean_per_pair",0.00117257338629829,0.0227404009819032,19.3935844422435,"5","readng"
"median_per_pair",0.00106501579284668,0.0338079929351807,NA,"5","readng"
"iqr_lower",0.000941038131713867,0.00168108940124512,NA,"5","readng"
"iqr_upper",0.0011909008026123,0.0414218902587891,NA,"5","readng"
"n_pairs",90000,90000,NA,"5","readng"
